[14:35:21] [Server/DEBUG]: Starting Plugin APi
[14:35:21] [Server/INFO]: Plugin API loading...
[14:35:21] [Server/INFO]: Checking some things...
[14:35:21] [Server/INFO]: Folder plugin exists!
[14:35:21] [Server/INFO]: Starting loading : Plugin Demo
[14:35:21] [Server/INFO]: Loaded !
[14:35:21] [Server/INFO]: Starting Minecraft server...
[14:35:21] [Server/DEBUG]: Server version: Alpha-dev
[14:35:21] [Server/DEBUG]: MC version: 1.16.5
[14:35:21] [Server/DEBUG]: Protocol version: 754
[14:35:21] [Server/INFO]: Loading ExamplePlugin from FewerElk (v 1.0)... COMPLETE !
[14:35:21] [Server/INFO]: Loading worlds...
[14:35:21] [Server/DEBUG]: Analysing worlds...
[14:35:21] [Server/DEBUG]: 0 worlds found !
[14:35:21] [Server/INFO]: DONE !
[14:35:23] [Server/DEBUG]: New client
[14:35:23] [Server/DEBUG]: b'\x10\x00\xf2\x05\t127.0.0.1c\xdd\x01\x01\x00'
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:28] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:29] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
[14:35:30] [Server/DEBUG]: b''
