[14:43:43] [Server/DEBUG]: Starting Plugin APi
[14:43:43] [Server/INFO]: Plugin API loading...
[14:43:43] [Server/INFO]: Checking some things...
[14:43:43] [Server/INFO]: Folder plugin exists!
[14:43:43] [Server/INFO]: Starting loading : Plugin Demo
[14:43:43] [Server/INFO]: Loaded !
[14:43:43] [Server/INFO]: Starting Minecraft server...
[14:43:43] [Server/DEBUG]: Server version: Alpha-dev
[14:43:43] [Server/DEBUG]: MC version: 1.16.5
[14:43:43] [Server/DEBUG]: Protocol version: 754
[14:43:43] [Server/INFO]: Loading ExamplePlugin from FewerElk (v 1.0)... COMPLETE !
[14:43:43] [Server/INFO]: Loading worlds...
[14:43:43] [Server/DEBUG]: Analysing worlds...
[14:43:43] [Server/DEBUG]: 0 worlds found !
[14:43:43] [Server/INFO]: DONE !
[14:43:43] [Server/DEBUG]: New client
[14:43:43] [Server/DEBUG]: b'\xfe\x01\xfa\x00\x0b\x00M\x00C\x00|\x00P\x00i\x00n\x00g\x00H\x00o\x00s\x00t\x00\x19\x7f\x00\t\x001\x002\x007\x00.\x000\x00.\x000\x00.\x001\x00\x00c\xdd'
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:43] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
[14:43:44] [Server/DEBUG]: b''
